election_date,out_eu_cont
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
2006-04-09,3.0054
