user_id,total_tweets,suspended
14875497.0,1,0
1.26941168040188e+18,1,0
1.26954908511309e+18,1,0
1.26977813126471e+18,1,0
1.26977945951688e+18,1,0
1.26982124139062e+18,1,0
1.26985616448278e+18,1,0
1.26992668711188e+18,1,0
1.26995295086625e+18,1,0
1.27017528049845e+18,1,0
1.2703619740697e+18,1,0
1.27043846835164e+18,1,0
1.26931546368892e+18,1,0
1.2704684056074e+18,1,0
1.27059717008582e+18,1,0
1.27062738849424e+18,1,0
1.27064304263098e+18,1,0
1.27067682384881e+18,1,0
1.27073505479314e+18,1,0
1.27090855926664e+18,1,0
1.27111703663106e+18,1,0
1.27112397603137e+18,1,0
1.27129413666717e+18,1,0
1.2713628640922e+18,1,0
1.27140944428328e+18,1,0
1.27054308950197e+18,1,0
1.27142451409039e+18,1,0
1.26926470669243e+18,1,0
1.26922356512937e+18,1,0
1.26827502624091e+18,1,0
1.26847821745688e+18,1,0
1.2684803506463e+18,1,0
1.2685178318068e+18,1,0
1.26852229167723e+18,1,0
1.26852258555107e+18,1,0
1.26852304353126e+18,1,0
1.26859739180172e+18,1,0
1.2686914294272e+18,1,0
1.26873579651898e+18,1,0
1.26874410920173e+18,1,0
1.26925586175233e+18,1,0
1.26876614216585e+18,1,0
1.26886310294846e+18,1,1
1.26886997271485e+18,1,0
1.26893845889199e+18,1,0
1.26895671733053e+18,1,0
1.26898802981906e+18,1,0
1.26905989428147e+18,1,0
1.26909349893186e+18,1,0
1.26909997486177e+18,1,0
1.26910108975388e+18,1,0
1.2691539048659e+18,1,0
1.26918860473716e+18,1,0
1.26881304536028e+18,1,0
1.26824715015413e+18,1,0
1.27144129095402e+18,1,0
1.27150865430759e+18,1,0
1.27239687121086e+18,1,0
1.27242288598698e+18,1,0
1.27244551401798e+18,1,0
1.27245515582108e+18,1,0
1.27252813131261e+18,1,0
1.27255212162021e+18,1,0
1.27258183582693e+18,1,0
1.27260841817233e+18,1,0
1.27271352761939e+18,1,0
1.27280787992221e+18,1,0
1.27282796456922e+18,1,0
1.27237364894339e+18,1,0
1.273143260719e+18,1,0
1.2733781392305e+18,1,0
1.27344103915255e+18,1,0
1.27358735673869e+18,1,0
1.27364923919376e+18,1,0
1.27365430364391e+18,1,0
1.27385426365178e+18,1,0
1.27391501535601e+18,1,0
1.27394903141312e+18,1,0
1.27395451318388e+18,1,0
1.27395683348562e+18,1,0
1.27396125921867e+18,1,0
1.2732519836007e+18,1,0
1.27150189955302e+18,1,0
1.27236478996924e+18,1,0
1.27229886947756e+18,1,0
1.27151220944152e+18,1,0
1.27154535205172e+18,1,0
1.27158964369634e+18,1,0
1.27163620745845e+18,1,0
1.27167700377147e+18,1,0
1.27173759977062e+18,1,0
1.27175127076467e+18,1,1
1.27175810198569e+18,1,0
1.27177093323403e+18,1,0
1.27178518031159e+18,1,0
1.27180570806593e+18,1,0
1.27231064009544e+18,1,0
1.27183432944291e+18,1,0
1.27186529398865e+18,1,0
1.27190715623792e+18,1,0
1.27195654707003e+18,1,0
1.27198816117927e+18,1,0
1.27200541321546e+18,1,0
1.27205494333194e+18,1,0
1.27212298042492e+18,1,0
1.27213739508163e+18,1,0
1.27214981098061e+18,1,0
1.27218842202791e+18,1,0
1.27219963631754e+18,1,0
1.27185496590931e+18,1,0
1.26823932102021e+18,1,0
1.26823365040906e+18,1,0
1.2681396428444e+18,1,0
1.26352769733181e+18,1,0
1.26359827406332e+18,1,0
1.26362069311316e+18,1,0
1.26362473070535e+18,1,0
1.2636381229377e+18,1,0
1.26373202110641e+18,1,0
1.26373448857784e+18,1,0
1.26382075422893e+18,1,0
1.26386232558226e+18,1,0
1.26391088594213e+18,1,0
1.26395129032288e+18,1,0
1.26349819554972e+18,1,0
1.26419054334247e+18,1,0
1.26434145403133e+18,1,0
1.26442726040639e+18,1,0
1.26450036694453e+18,1,0
1.26454211664411e+18,1,0
1.26455741102243e+18,1,0
1.26458931804088e+18,1,0
1.2646039826994e+18,1,0
1.26478851094028e+18,1,0
1.26488362424516e+18,1,0
1.26493575370602e+18,1,0
1.26495144421987e+18,1,0
1.26431008320848e+18,1,0
1.26525994832733e+18,1,0
1.26345022528641e+18,1,0
1.26342995697499e+18,1,0
1.26228148036722e+18,1,0
1.26237217318187e+18,1,0
1.26237584607934e+18,1,0
1.26240853819161e+18,1,0
1.26241657732193e+18,1,0
1.26242090891813e+18,1,0
1.26242297519166e+18,1,0
1.26246832873345e+18,1,0
1.26249304591368e+18,1,0
1.26250487790258e+18,1,0
1.26250669796628e+18,1,0
1.26343456026137e+18,1,0
1.26253056004541e+18,1,0
1.2629092362768e+18,1,0
1.26295596000973e+18,1,0
1.26300807856526e+18,1,0
1.26305484246695e+18,1,0
1.26307008816221e+18,1,0
1.26317140795082e+18,1,0
1.26318022140412e+18,1,0
1.26318592659289e+18,1,0
1.26321674513895e+18,1,0
1.26329095466181e+18,1,0
1.2633992248526e+18,1,0
1.26272499230049e+18,1,0
1.2652792453134e+18,1,0
1.26529836237224e+18,1,0
1.26534975912176e+18,1,0
1.26704163326817e+18,1,0
1.2670573322083e+18,1,0
1.26712953003822e+18,1,1
1.26717876149523e+18,1,0
1.26719130711561e+18,1,0
1.26726434198578e+18,1,0
1.2673265143888e+18,1,0
1.26735036287017e+18,1,0
1.26737088592686e+18,1,0
1.2676071476612e+18,1,0
1.2676449346157e+18,1,0
1.26694994046457e+18,1,0
1.26769793389539e+18,1,0
1.26778452188747e+18,1,0
1.26788224139438e+18,1,0
1.2679322187412e+18,1,0
1.26795951351835e+18,1,0
1.26802501103549e+18,1,0
1.26802777513648e+18,1,0
1.26803095622251e+18,1,0
1.26803728634581e+18,1,0
1.26804047468374e+18,1,0
1.26804129874698e+18,1,0
1.26810983618661e+18,1,0
1.26775167687993e+18,1,0
1.2669291144785e+18,1,0
1.26685357167007e+18,1,0
1.26679960968439e+18,1,0
1.26538803189013e+18,1,0
1.26544905369059e+18,1,0
1.26552967331804e+18,1,0
1.26555191693278e+18,1,0
1.26561883786668e+18,1,0
1.26565795661323e+18,1,0
1.26585366974612e+18,1,0
1.26586905448654e+18,1,0
1.2660024531928e+18,1,0
1.26607205547006e+18,1,0
1.2661395025207e+18,1,0
1.26617261916391e+18,1,0
1.26620471786204e+18,1,0
1.2662459663964e+18,1,0
1.26640430027785e+18,1,0
1.26641589441211e+18,1,0
1.26641605619473e+18,1,0
1.26645180646658e+18,1,0
1.26651081809249e+18,1,0
1.26656691663565e+18,1,0
1.26664158579975e+18,1,0
1.26668736383877e+18,1,0
1.26669003697786e+18,1,0
1.26674444476779e+18,1,0
