user_id,total_tweets,suspended
2737.0,1,0
9.08691708052779e+17,1,0
9.08633810266341e+17,1,0
9.08550374860005e+17,1,0
9.08434749085102e+17,1,0
9.08411276640113e+17,1,0
9.08384216576086e+17,1,0
9.08319253048078e+17,1,0
9.08120933532975e+17,1,0
9.08116824058819e+17,1,0
9.08032932098519e+17,1,0
9.09075262884733e+17,1,0
9.07956112619577e+17,1,0
9.07782296157204e+17,1,0
9.0777289857588e+17,1,0
9.07433025109033e+17,1,0
9.07382831130857e+17,1,0
9.07319429326823e+17,1,0
9.07233403854094e+17,1,0
9.07093973558329e+17,1,0
9.07064136202424e+17,1,0
9.0699156568336e+17,1,0
9.06929768104448e+17,1,0
9.07874298374902e+17,1,0
9.0911908811026e+17,1,0
9.09205787628724e+17,1,0
9.09234615096938e+17,1,0
9.10922022108238e+17,1,0
9.10700376038543e+17,1,1
9.10700060396151e+17,1,0
9.10697040283406e+17,1,1
9.1059134838589e+17,1,0
9.10520855595246e+17,1,0
9.10509061547979e+17,1,0
9.10499111962636e+17,1,0
9.10486765995037e+17,1,0
9.10356903275921e+17,1,0
9.10289399736304e+17,1,1
9.10202693821522e+17,1,0
9.10196128146129e+17,1,0
9.10192298281066e+17,1,0
9.10180760312742e+17,1,0
9.10043123924865e+17,1,0
9.10004101240447e+17,1,0
9.09562287064846e+17,1,0
9.09559396396659e+17,1,0
9.09485366498951e+17,1,0
9.09426633173459e+17,1,0
9.09411446999495e+17,1,0
9.09407664714559e+17,1,1
9.06803569994732e+17,1,0
9.1100602633753e+17,1,0
9.06698765083353e+17,1,0
9.06347265912009e+17,1,0
9.04043863790125e+17,1,0
9.04012741421216e+17,1,0
9.03962091488506e+17,1,0
9.03821624633418e+17,1,0
9.03814861607526e+17,1,0
9.03774124526494e+17,1,1
9.03728861963207e+17,1,0
9.03703449384223e+17,1,0
9.03617662193947e+17,1,0
9.034520607372e+17,1,0
9.04054694263366e+17,1,0
9.03427095765889e+17,1,0
9.03353964560712e+17,1,0
9.03317400594067e+17,1,0
