user_id,total_tweets,suspended
279993.0,1,0
9.63045433701417e+17,1,0
9.62835467220775e+17,1,0
9.62019677282058e+17,1,0
9.62005325304889e+17,1,1
9.61710351162192e+17,1,0
9.61609206318223e+17,1,1
9.61474360874885e+17,1,0
9.61300527865672e+17,1,0
9.61244257855201e+17,1,0
9.61069448332538e+17,1,0
9.6098463987472e+17,1,0
9.60963682586055e+17,1,0
9.60927809802715e+17,1,0
9.63402229158949e+17,1,0
9.60686333911077e+17,1,0
9.60541144819126e+17,1,0
9.60306936859292e+17,1,0
9.59872921111028e+17,1,0
9.5916946333259e+17,1,0
9.59101741005492e+17,1,0
9.59050348630561e+17,1,0
9.58860239318725e+17,1,0
9.5872914740831e+17,1,0
9.58563666609213e+17,1,0
9.5855397706648e+17,1,0
9.58519356786336e+17,1,0
9.58275420780077e+17,1,0
9.58199613781107e+17,1,0
9.60573465060364e+17,1,0
9.6341983380632e+17,1,0
9.63586980364849e+17,1,0
9.6362159114496e+17,1,0
9.7074651169604e+17,1,0
9.70465611355771e+17,1,0
9.70305684402295e+17,1,0
9.69784077644546e+17,1,0
9.69545108193505e+17,1,0
9.69514750492148e+17,1,0
9.69294436067811e+17,1,0
9.69145294775468e+17,1,0
9.68947488790106e+17,1,0
9.68930814766584e+17,1,0
9.68788879972225e+17,1,0
9.68368324429144e+17,1,0
9.67795164659048e+17,1,0
9.67617583498322e+17,1,0
9.67487063644951e+17,1,0
9.67256162461561e+17,1,0
9.66732397936022e+17,1,0
9.66697102792364e+17,1,0
9.66556805458547e+17,1,0
9.6627780837591e+17,1,0
9.66089251468317e+17,1,0
9.65726831847424e+17,1,0
9.65591188655915e+17,1,0
9.65450311300239e+17,1,0
9.65347428919534e+17,1,0
9.65341268011139e+17,1,0
9.64843828996985e+17,1,0
9.64358692366778e+17,1,0
9.63623324923453e+17,1,0
9.58038913058267e+17,1,0
9.57829613102625e+17,1,0
9.57329942651564e+17,1,0
9.56339467085693e+17,1,0
9.49846559927108e+17,1,0
9.49811963265249e+17,1,0
9.49634906035978e+17,1,0
9.49527219491176e+17,1,0
9.4910275694565e+17,1,0
9.49074257975312e+17,1,0
9.49061126905651e+17,1,0
9.49040731766829e+17,1,0
9.4892954632525e+17,1,0
9.48926972327088e+17,1,0
9.48655839660868e+17,1,0
9.48583937001116e+17,1,0
9.48135260327363e+17,1,0
9.47986994348601e+17,1,0
9.47977862782468e+17,1,0
9.47829031034114e+17,1,0
9.47428915076768e+17,1,0
9.47284676028314e+17,1,0
9.47169555079713e+17,1,0
9.47040306213536e+17,1,0
9.46567238227825e+17,1,0
9.46473524054626e+17,1,0
9.46087054831735e+17,1,0
9.45662464208781e+17,1,0
9.4549855124061e+17,1,0
9.44583720543162e+17,1,0
9.43535793594864e+17,1,0
9.43263423051137e+17,1,0
9.42710339732251e+17,1,0
9.49921328395514e+17,1,0
9.70838270174151e+17,1,0
9.50150808070337e+17,1,0
9.50269083630621e+17,1,0
9.56158017086657e+17,1,0
9.55994293918937e+17,1,0
9.55865683362922e+17,1,0
9.55273256612712e+17,1,0
9.55209557189579e+17,1,0
9.55081654099497e+17,1,0
9.54929399379481e+17,1,0
9.54710481217958e+17,1,0
9.5451593124549e+17,1,0
9.54373030901354e+17,1,0
9.54328494955262e+17,1,0
9.54322996986032e+17,1,0
9.5420133260859e+17,1,0
9.54136990353691e+17,1,0
9.53728345505653e+17,1,0
9.53029618776396e+17,1,0
9.52956821073007e+17,1,0
9.52934335929291e+17,1,0
9.52882596161184e+17,1,0
9.52762998438932e+17,1,0
9.52739615999496e+17,1,0
9.52329001376342e+17,1,0
9.51870435825566e+17,1,0
9.51826564748104e+17,1,0
9.51475713516827e+17,1,0
9.51245732333474e+17,1,0
9.51148940157702e+17,1,1
9.50752853261304e+17,1,0
9.50738912443535e+17,1,0
9.50183786477642e+17,1,0
9.71019951216742e+17,1,0
9.7116160544988e+17,1,0
9.71593565636891e+17,1,0
9.97168457857855e+17,1,0
9.96904423585604e+17,1,0
9.96835772786401e+17,1,0
9.96505647943315e+17,1,0
9.96339202647253e+17,1,0
9.96222800024228e+17,1,0
9.95648926085714e+17,1,0
9.95644097053495e+17,1,0
9.94905753990369e+17,1,0
9.94845915658818e+17,1,0
9.946702579263e+17,1,0
9.94412456331039e+17,1,0
9.94290877672505e+17,1,0
9.93872444317405e+17,1,0
9.93480759037002e+17,1,0
9.9312164512775e+17,1,0
9.93093051307495e+17,1,0
9.92870137240764e+17,1,0
9.92637775890538e+17,1,0
9.92044549043302e+17,1,0
9.9140997888698e+17,1,0
9.91175921439859e+17,1,1
9.90737128047989e+17,1,0
9.90673084544889e+17,1,0
9.90421506067911e+17,1,0
9.90221801111241e+17,1,0
9.90025631172846e+17,1,0
9.9002490690449e+17,1,0
9.89949621031047e+17,1,0
9.97584293055599e+17,1,0
9.89582515655578e+17,1,0
9.99042853564232e+17,1,0
9.99882380952285e+17,1,0
1.00883163002122e+18,1,0
1.0087965026495e+18,1,0
1.0087218700264e+18,1,0
1.00838212229223e+18,1,0
1.00812674264358e+18,1,0
1.00783269698109e+18,1,0
1.00737262130924e+18,1,0
1.00736690313906e+18,1,0
1.0058873968132e+18,1,0
1.00588027045151e+18,1,0
1.00532472251783e+18,1,0
1.00493308953201e+18,1,0
1.00484551953193e+18,1,0
1.00441352260281e+18,1,0
1.00415915864251e+18,1,0
1.00415782850277e+18,1,0
1.00408919542036e+18,1,0
1.00404713906276e+18,1,0
1.00347257444822e+18,1,0
1.00295680499573e+18,1,0
1.00280058857104e+18,1,0
1.00251714133196e+18,1,0
1.00238941634474e+18,1,0
1.00235706054403e+18,1,0
1.00216974573769e+18,1,0
1.00196382801027e+18,1,0
1.00194357525977e+18,1,0
1.00097603008829e+18,1,0
1.00041136479022e+18,1,0
9.99278090625962e+17,1,0
9.41815081784021e+17,1,0
9.8925623727881e+17,1,0
9.89123054872609e+17,1,1
9.78052149664993e+17,1,0
9.78037593299476e+17,1,0
9.7795588280907e+17,1,0
9.77585000093757e+17,1,0
9.77297560816636e+17,1,0
9.77237853771043e+17,1,0
9.77164305002127e+17,1,0
9.76837150871294e+17,1,0
9.76633786661143e+17,1,0
9.76206931789582e+17,1,0
9.76185207924523e+17,1,0
