user_id,total_tweets,suspended
1338.0,1,0
7.55868814408049e+17,1,0
7.53776027709473e+17,1,0
7.5226453974859e+17,1,0
7.51618401311883e+17,1,0
7.50506501748384e+17,1,0
7.50270552309395e+17,1,0
7.4930704742273e+17,1,0
7.49079809402155e+17,1,0
7.48921874625786e+17,1,0
7.46778695130558e+17,1,0
7.46468173168411e+17,1,0
7.46468158454796e+17,1,0
7.457720656099e+17,1,0
7.45747580210971e+17,1,0
7.45670821964816e+17,1,0
7.45093266966733e+17,1,0
7.43968564500173e+17,1,0
7.55949947686531e+17,1,0
7.4250931866728e+17,1,0
7.56551886107357e+17,1,0
7.58052502583386e+17,1,0
7.74689925820064e+17,1,0
7.69665971455832e+17,1,0
7.68476715689521e+17,1,0
7.68140059497366e+17,1,0
7.66270781550653e+17,1,0
7.64814491334869e+17,1,0
7.64489721644888e+17,1,0
7.63542263058338e+17,1,0
7.63413081452057e+17,1,0
7.62961411068658e+17,1,0
7.61293751503335e+17,1,0
7.61104339259634e+17,1,0
7.60511207354823e+17,1,0
7.60189868601401e+17,1,0
7.5921801501986e+17,1,0
7.58361693877666e+17,1,0
7.58114313768927e+17,1,0
7.56659591832867e+17,1,0
7.75553609031307e+17,1,0
7.42451693221118e+17,1,0
7.4101912127017e+17,1,0
4872846903.0,1,0
4870605589.0,1,0
4867586487.0,1,0
4857707759.0,1,0
4841697589.0,1,0
4830432023.0,1,0
4827740561.0,1,1
4824669434.0,1,0
4756437972.0,1,0
4719872722.0,1,0
4704540373.0,1,0
4676901404.0,1,0
4474739308.0,1,0
4462483173.0,1,0
4443188837.0,1,0
4419777993.0,1,0
4365667815.0,1,0
4888453971.0,1,0
7.4167075494144e+17,1,0
7.00789930818191e+17,1,0
7.02537038638289e+17,1,0
7.40737945619948e+17,1,0
7.3669829483171e+17,1,0
7.30752852319076e+17,1,0
7.29739794511766e+17,1,0
7.27614725882663e+17,1,0
7.25770059319251e+17,1,0
7.20432251956249e+17,1,0
7.20055961285624e+17,1,0
7.18491591099286e+17,1,0
7.17586295950737e+17,1,0
7.1729372421716e+17,1,0
7.12385480562774e+17,1,0
7.12258721834004e+17,1,0
7.06618136171323e+17,1,0
7.06470316873228e+17,1,0
7.03363058521895e+17,1,0
7.03088026247758e+17,1,0
7.0156604337494e+17,1,0
7.75560946412458e+17,1,0
7.75666592134771e+17,1,0
7.76067614447501e+17,1,0
8.18429972683588e+17,1,0
8.17410489370034e+17,1,0
8.14364367307338e+17,1,0
8.14222411042357e+17,1,0
8.13586660843803e+17,1,0
8.13572101550604e+17,1,0
8.13086530390675e+17,1,0
8.12039703717233e+17,1,0
8.10302458895286e+17,1,0
8.0989252280583e+17,1,0
8.09838468989907e+17,1,0
8.08111621096743e+17,1,0
8.05463800170172e+17,1,0
8.05080540114129e+17,1,0
8.05005774074233e+17,1,0
8.04509981940662e+17,1,0
8.02968354596143e+17,1,0
8.20070489619976e+17,1,0
8.02577559179305e+17,1,0
8.20353689361744e+17,1,0
8.21751290590036e+17,1,0
8.26559911366631e+17,1,0
8.26210792546525e+17,1,0
8.2582144178219e+17,1,0
8.25756599872524e+17,1,0
8.25583271622873e+17,1,0
8.25508088623014e+17,1,0
8.25493431225041e+17,1,0
8.25445119222362e+17,1,0
8.25379864433816e+17,1,0
8.25147097452274e+17,1,0
8.24494418967273e+17,1,0
8.24101027041329e+17,1,0
8.23649465198252e+17,1,0
8.23348478625464e+17,1,0
8.22988306443108e+17,1,0
8.22695447575806e+17,1,0
8.22591816344211e+17,1,0
8.20446669720277e+17,1,0
8.01255071745004e+17,1,0
8.00684998034538e+17,1,0
8.00429745208848e+17,1,0
7.90611167462826e+17,1,0
7.88915123012395e+17,1,0
7.88119681395589e+17,1,0
7.87728243960844e+17,1,0
7.86377114270388e+17,1,0
7.85643540802114e+17,1,0
7.85494891174461e+17,1,0
7.84530223366824e+17,1,0
7.84158680308605e+17,1,0
7.84071674706534e+17,1,0
7.84024513285612e+17,1,0
7.83036344327082e+17,1,0
7.82916585933668e+17,1,0
7.8264446742988e+17,1,0
7.80591304422023e+17,1,0
7.80384414228447e+17,1,0
7.77999138864497e+17,1,0
