tweet_count,total_users,total_suspended,fraction_suspended
1,8133,305,0.03750153694823558
2,445,22,0.04943820224719101
3,89,9,0.10112359550561797
4,34,4,0.11764705882352941
5,23,6,0.2608695652173913
6,14,1,0.07142857142857142
7,6,1,0.16666666666666666
8,4,0,0.0
9,4,0,0.0
10,2,1,0.5
11,5,0,0.0
15,2,0,0.0
17,3,0,0.0
18,2,0,0.0
21,1,0,0.0
25,1,0,0.0
26,1,0,0.0
35,1,0,0.0
40,1,0,0.0
47,1,0,0.0
68,1,0,0.0
73,1,0,0.0
247,1,0,0.0
315,1,0,0.0
