user_id,tweet_id,tweet_time,suspended
17654763,1.31065581970126e+18,2020-09-28 19:01:12,0
372209861,1.3107150391214e+18,2020-09-28 22:56:31,0
27138748,1.31067497281432e+18,2020-09-28 20:17:19,0
3063914273,1.31067498245272e+18,2020-09-28 20:17:21,0
1.23954855476041e+18,1.31089483482831e+18,2020-09-29 10:50:58,0
50070119,1.31081857986913e+18,2020-09-29 05:47:57,0
1089998124,1.31080212069898e+18,2020-09-29 04:42:33,0
753934206,1.31082373732375e+18,2020-09-29 06:08:27,0
1362477643,1.31135097425098e+18,2020-09-30 17:03:30,0
1.23954855476041e+18,1.31092204633613e+18,2020-09-29 12:39:06,0
160244947,1.31135072268083e+18,2020-09-30 17:02:30,0
8.6290907458485e+17,1.31122882423603e+18,2020-09-30 08:58:07,0
1646145848,1.31134911614913e+18,2020-09-30 16:56:07,0
402091536,1.3113514157013e+18,2020-09-30 17:05:15,0
2066991,1.31135216973242e+18,2020-09-30 17:08:15,0
738958034,1.31135156186457e+18,2020-09-30 17:05:50,0
252229421,1.31135222847357e+18,2020-09-30 17:08:29,0
58127838,1.31135253134e+18,2020-09-30 17:09:41,0
8.13086530390675e+17,1.31135237966152e+18,2020-09-30 17:09:05,0
1.11122775800332e+18,1.31135248442273e+18,2020-09-30 17:09:30,0
3255926408,1.31135234629569e+18,2020-09-30 17:08:57,0
1217487751,1.31135258117691e+18,2020-09-30 17:09:53,0
23343202,1.31135284527546e+18,2020-09-30 17:10:56,0
2594700727,1.31135275301336e+18,2020-09-30 17:10:34,0
1.25374282828438e+18,1.31135258894456e+18,2020-09-30 17:09:55,0
7.77999138864497e+17,1.31135319387667e+18,2020-09-30 17:12:19,0
1.2962363582819e+18,1.31135295894112e+18,2020-09-30 17:11:23,0
150354304,1.31135297992095e+18,2020-09-30 17:11:28,0
40097814,1.31135306750641e+18,2020-09-30 17:11:49,0
20710575,1.31135307586134e+18,2020-09-30 17:11:51,0
1.18395191294269e+18,1.31135364247412e+18,2020-09-30 17:14:06,0
7544762,1.31135319769754e+18,2020-09-30 17:12:20,0
9.49842260526498e+17,1.31135336928239e+18,2020-09-30 17:13:01,0
286496548,1.31135348706257e+18,2020-09-30 17:13:29,0
168820970,1.31135353718462e+18,2020-09-30 17:13:41,0
33941425,1.31135331911851e+18,2020-09-30 17:12:49,0
1.02740078564084e+18,1.31135388974506e+18,2020-09-30 17:15:05,0
317230279,1.3113540403585e+18,2020-09-30 17:15:41,0
7.06618136171323e+17,1.31135396516302e+18,2020-09-30 17:15:23,0
