user_id,tweet_id,tweet_time,suspended
1.23451451658456e+18,1.31064321434952e+18,2020-09-28 18:11:07,0
2362892479,1.31065136760682e+18,2020-09-28 18:43:31,0
912536365,1.31067006309607e+18,2020-09-28 19:57:48,0
592549689,1.31065170593615e+18,2020-09-28 18:44:52,0
1.24951360078113e+18,1.31065758604421e+18,2020-09-28 19:08:14,0
55192727,1.31074874324808e+18,2020-09-29 01:10:27,0
3355586265,1.31067138904565e+18,2020-09-28 20:03:04,0
1.2502507047883e+18,1.31067189398548e+18,2020-09-28 20:05:05,0
1.29171708452778e+18,1.31073468256942e+18,2020-09-29 00:14:35,1
1.0482114439156e+18,1.31074899477613e+18,2020-09-29 01:11:27,0
7.98197043311231e+17,1.3107489524306e+18,2020-09-29 01:11:17,0
1.28823091031648e+18,1.31074916212902e+18,2020-09-29 01:12:07,0
8.4500210455724e+17,1.31074934048755e+18,2020-09-29 01:12:49,0
1.12640577653119e+18,1.31074930075487e+18,2020-09-29 01:12:40,0
19116398,1.310750181672e+18,2020-09-29 01:16:10,0
38812371,1.31075034872275e+18,2020-09-29 01:16:50,0
1.06051501634302e+18,1.31075329411827e+18,2020-09-29 01:28:32,0
17541507,1.3107538392393e+18,2020-09-29 01:30:42,0
7.98986826056729e+17,1.31075476959873e+18,2020-09-29 01:34:24,0
2470631287,1.31084456666946e+18,2020-09-29 07:31:13,0
16203788,1.31075603133363e+18,2020-09-29 01:39:25,1
308745800,1.31078040591883e+18,2020-09-29 03:16:16,0
1.23941913919999e+18,1.3108630260489e+18,2020-09-29 08:44:34,1
1.25375141267002e+18,1.31085920555801e+18,2020-09-29 08:29:23,0
3014250878,1.31085922862259e+18,2020-09-29 08:29:29,0
1.23941913919999e+18,1.31085216208017e+18,2020-09-29 08:01:24,1
2302515727,1.31085900137933e+18,2020-09-29 08:28:35,0
1.30911418543182e+18,1.31087397999815e+18,2020-09-29 09:28:06,0
1.04298432056925e+18,1.3108685338412e+18,2020-09-29 09:06:27,0
9.18744023816458e+17,1.31087263853809e+18,2020-09-29 09:22:46,0
2302515727,1.31087339936381e+18,2020-09-29 09:25:47,0
9.18744023816458e+17,1.31088774604362e+18,2020-09-29 10:22:48,0
9.67617583498322e+17,1.31087449692085e+18,2020-09-29 09:30:09,0
4633046554,1.31089033988089e+18,2020-09-29 10:33:06,0
2302515727,1.31089590994177e+18,2020-09-29 10:55:14,0
3097974644,1.31089541308452e+18,2020-09-29 10:53:16,0
254205585,1.31089497486778e+18,2020-09-29 10:51:31,0
1.23941913919999e+18,1.31092016630646e+18,2020-09-29 12:31:38,1
4633046554,1.31089730260999e+18,2020-09-29 11:00:46,0
9.18744023816458e+17,1.31090289544178e+18,2020-09-29 11:23:00,0
4295712856,1.31091075187638e+18,2020-09-29 11:54:13,0
1.16306933313785e+18,1.31090713319031e+18,2020-09-29 11:39:50,0
1.22400740890264e+18,1.31093803742211e+18,2020-09-29 13:42:38,0
1830619279,1.31092301503142e+18,2020-09-29 12:42:57,0
1.23941913919999e+18,1.31093838083494e+18,2020-09-29 13:44:00,1
1.17801471802965e+18,1.31093893295634e+18,2020-09-29 13:46:12,0
1.2852396122906e+18,1.31093882909278e+18,2020-09-29 13:45:47,0
7.43778745136329e+17,1.3109388845331e+18,2020-09-29 13:46:00,0
